1, 1020 Glass Art,1
2, Anne Moore,1
3, Austin Java,1
4, Austin MacWorks,1
5, Bang & Olufsen,1
6, Bar Chi Sushi,1
7, Bed Bath & Beyond,1
8, Best Buy,1
9, BoConcept,1
10, Cantina Laredo,1
11, Cathy's Cleaners,1
12, CRU,1
13, delish,1
14, Design Within Reach,1
15," Dr. Shane Matt, DDS",1
16, Duo (Coming Soon),1
17, Eliza Page,1
18, Estilo Boutique,1
19," Etcetera, Etc",1
20, Finch,1
21, gallery d,1
22, Girl Next Door,1
23, Home Depot,1
24, How Do You Roll?,1
25, III Forks Steakhouse,1
26, Jo's Hot Coffee,1
27, La Condesa & Malverda,1
28, Lamberts BBQ,1
29, Langford Market,1
30, Leaf,1
31, Lofty Dog,1
32, Malaga,1
33, Malverde,1
34, Mama Fu's,1
35, Marshalls,1
36, Mercury Design Studio,1
37, Milk & Honey Spa,1
38, Missbehave Boutique,1
39, Nordstrom Rack,1
40, Peyton's Place,1
41, Plain Ivey Jane,1
42, Prize,1
43, Royal Blue Grocery,1
44, Salon by Milk & Honey,1
45, St. Bernard Sports,1
46, Tart Frozen Yogurt,1
47, Teddies for Bettys,1
48, Teuscher Chocolates,1
49, TRACE,1
50, Violet Crown Cinema,1
51, Wee,1
52, Muvico Theaters,2
53, Toys R Us,2
54, Ace Hardware,3
55, Bank of America ,3
56, Barbeques Galore,3
57, Bed Bath & Beyond,3
58, Brett's BBQ,3
59, Capri Blu,3
60, Cinnabar Acupuncture Clnc,3
61, Civil Disobedience,3
62, Coffee Bean & Tea,3
63, Color Me Mine,3
64, Cost Plus World Market,3
65, CVS/Pharmacy,3
66, Daphne's Greek Cafe,3
67, Dental Treatment Center,3
68," Dr. Melanie Wang, DDS",3
69, European Wax Center,3
70, Geppetto's Toy Store,3
71, Gloss Beauty Supply,3
72, Go Wireless-Verizon,3
73, Great Clips,3
74, Hollywood Tans,3
75, Chili's,3
76, Jamba Juice,3
77, Jimbo's Naturally,3
78, Kids Care Club,3
79, Mabel's,3
80, MaggieMoo's Ice Cream,3
81, Panera Bread,3
82, Pei Wei Asian Diner,3
83, PetPeople,3
84, Premier Cleaners,3
85, Prestige Nail Salon,3
86, Pt. Loma Credit Union,3
87, pure barre,3
88, Ralphs,3
89, Rancho Bernardo Eye Care,3
90, Re/Max of Rancho Bernado,3
91, Sublime Pizza,3
92, The Racquet Place,3
93, The UPS Store,3
94, TRE Women's,3
95, United Self Defense,3
96, Wahoo's Fish Taco,3
97, Washington Mutual Bank,3
98, Wells Fargo,3
99, Wendy's,3
100, Zocalo Grill,3
101, Alfred Angelo Bridal,4
102, Ann Taylor,4
103, Anthropologie,4
104, Apple Computer,4
105, Armando's Salon,4
106, AT&T;,4
107, BCBGMAXAZRIA,4
108, bebe,4
109, Bravo! Cucina Italiana,4
110, California Pizza Kitchen,4
111, Carolyn Pollack Jewelry,4
112, Coldwater Creek,4
113, Complete Nutrition,4
114, Eddie Bauer,4
115, Elephant Bar,4
116, Fidelity Investments,4
117, Francesca's Collections,4
118, Gap,4
119, Gymboree,4
120, Hot Accessories,4
121, Chico's,4
122, J. Jill,4
123, J.Crew,4
124, Jared The Galleria of Jewelry,4
125, Jos. A. Bank,4
126, La Bella Day Spa,4
127, L'Occitane,4
128, Lucky Brand Jeans,4
129, Lululemon Athletica,4
130, LUSH,4
131, MAC Cosmetics,4
132, Marcello's Chophouse,4
133, Mattress Firm Tempur-Pedic Gallery,4
134, McAlisters Deli,4
135, Perfume Max,4
136, Pottery Barn,4
137, Sleep Number by Select Comfort,4
138, Soma Intimates,4
139, Starbucks Coffee,4
140, Sunglass Hut,4
141, Talbots,4
142, The Melting Pot,4
143, The North Face,4
144, T-Mobile,4
145, White House Black Market,4
146, Williams-Sonoma,4
147, YOYO Bliss Bar,4
148, Big Dog Sportswear,5
149, Bon Worth,5
150, Coleman,5
151, Corning / Revere,5
152, Dress Barn / Dress Barn Woman,5
153, Easy Spirit,5
154, Eddie Bauer,5
155, Factory Brand Shoes,5
156, Kitchen Collection,5
157, L'Eggs Hanes Bali Playtex,5
158, Liz Claiborne Outlet,5
159, Swank Factory Store,5
160, The Paper Factory,5
161, Adrian Gold & Silver Exchange,6
162, Aéropostale,6
163, American Eagle Outfitters,6
164, American Greetings,6
165, Bath & Body Works,6
166, Centennial Wireless,6
167, Claire's,6
168, Comtronics,6
169, Deb,6
170, Elder Beerman,6
171, Enzo's Pizza,6
172, Finish Line,6
173, Game Frenzy,6
174, Garfield's,6
